text,emotion
ive stamped out old relationships feeling like the distance and time apart would cause people to forget or somehow give enough reason for them to stop caring about me,3
i feel a little isolated being in my house all the time,0
i have lost kg and feeling fab,2
i wonder how they would feel if someone was screaming at them and then saying horribly rude things behind their back later,4
i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover,4
i dont really feel his presence but im eager to hear news about him,2
i definitely feel like hot stuff strutting down the road in it a href http,3
i feel really strange without my bangs and sometimes i want just to cut my hair,5
i knew i had reached there after the continuous bumps that made me feel obnoxious due to the devastating condition of the roads,4
i am and growing up when i was feeling unsure about myself and my feelings i would hear about actresses i looked up to being very open about it,5
i really needed to hear today i really struggle feeling valuable just staying home i know it is important and that is why i do it but it was great hearing how much my husband values what i do every day,2
i was still feeling ok energy and distance wise etc it was just so slow and this was frustrating me a lot,2
i have definitely felt the stirrings of spring and although i expect more winter weather in march i feel assured that the seasons are changing,2
i returned home feeling invigorated and wanting more,2
i feel is manifesting in strange ways,5
i feel so vulnerable to criticism like if my lunch stinks or if somebody comments on what i eat i have this embarrassed feeling,5
i feel dazed deserted,1
i think the sooner we do the better well all feel greg im already in a distressed mood mom,5
i combine the flat tire the head wound and a headless bird im feeling a little paranoid,5
i nearly called an ambulance feel a bit shaken up saw the doc who has given me some diazepam which im not sure of takeing,5
i love to sew cook and also dabble in mixed media art when i feel like getting messy,0
i am certified via ace and i love what i do but lately i feel like a fake,0
i feel genuinely wronged,4
i will not say much because chanel always speaks for its self and i feel that chanel makes sure they have something for every age group,2
i can t help myself from feeling a bit apprehensive in the meantime,5
i know it wouldn t have solved anything but i m sure that it would have momentarily made me feel less agitated for sure,4
i hold it for a day my arm will feel numb and paralysed,0
i am blue i try to imagine his smile and even though the tears pour i feel so loved,3
im feeling less like a woman and more like an embarrassed girl,0
i always feel like i need drugs after which is funny cuz its a health food store,1
i meet men who feel insecure about women,5
i feel naughty just being this girls friend,3
i start to feel like im getting over the death of my beloved cat timmy and when i get used to the idea of only seeing my mum maybe twice a ytear from now on and justwhen i start planning for my futrue and happy timesa ahead i start efeeling like this again,3
i was feeling annoyed suddenly,4
i am feeling blessed that i live in america have a wonderful family and that dorothy kelsey was a part of my life,3
i just couldnt shake the feeling that he is being left out somehow and i sort of hated that i had done this to him,4
i feel really lucky for everything i have this year a job a roof over my head heat and the ability to give my kids a fun christmas and if i have a little left over i want to pass if forward as the saying goes there but for the grace of god i go,2
i feel love by sweet little arms wrapped around my legs wet kisses on my face and soft round cheeks on my lips,3
i feel like i can breath now and not be so rushed,4
im feeling inspired by all the summery elements of my favorite past time beach bummin,2
i got back to my desk i just sat there and cried feeling so humiliated,0
i only talk when i feel like i have something valuable to say,2
i dont know where she gets her energy frombut i feel slightly shamed about how moody i feel when i havent slept well enough,0
i do not do these things to torture you i am feeling tortured myself at the moment,4
i get the feeling that i impressed ecker,1
i am so desperate to save her that i feel i will do anything yet i was so skeptical to consider chemo as i was told by her radiation oncologist initally as well as the internist that nasal sarcoma is not chemo sensitive,5
i was feeling pretty overwhelmed and stressed out over the whole affair but a few minutes of straightforward logical there totally is a right answer algebra combined with overhearing some trigonometry another tutor and tutee were working on at the library calmed me right down,1
i am feeling much more myself again now and i would like to say thank you to everyone for the lovely get well wishes your lovely comments always mean so much to me,3
im feeling a little overwhelmed,1
i wish it was a more comforting feeling but instead it feels strange like living the memories of someone else or maybe having woken up from a long dream or a long sleep years and finding that the trees around you have grown taller,1
ive heard it so many times already im already feeling skeptical of whatever they say,5
i am working for but that work requires opportunity certain freedoms of expression and of movement and i may sound paranoid by saying this but i feel those freedoms threatened and more and more each day,5
hearing about developments of sience in the west a lot better than china,0
i felt a little bit of cramping and the same feelings i had been feeling for weeks so was not bothered by it,4
i feel like special honored guests,2
i feel shocked his words very pure very self,1
i am feeling a bit strange never felt that ever but should i really stop writing blogs now,5
i have to admit that i was feeling distracted by the fact that i was blocking traffic,4
i friends helping them to dress up and practise their thai introduction session while i sat there feeling helpless,5
i feel so passionate about utopia is my desire for peace on this troubled earth,3
i feel popular special and important,2
i get upset that i try to rekindle some sort of feeling excitement remorse longing anything but like i said even this feeling becomes a temporary phase,3
i thought id try to demonstrate the difference as i know if i hadnt seen it for myself i may still be feeling doubtful,5
i feel like there is a violent war going on in my stomach,4
im feeling a bit uncertain about the whole poem i think that will remain,5
i keep having all of these wonderful feelings and dreams and i am so terrified that they are bad or harmful or wrong but they are not,5
i started feeling doubtful so i just sat in my seat disappointed,5
i am mostly feeling contentedly terrified about it all,5
i feel like a whore and im ashamed of,0
i feel that the students in this classroom are very hostile towards any display of intellect just like the rest of society,4
i feel sorry for you guys,0
i feel uncertain of how i can keep my personal development of fitness and health going in the right direction,5
i feel like a paranoid victim of the system in fear of something learing in the depths,5
i wont face these obstacles and feel like a stressed out mess or worse a mommy failure,0
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,5
i will get an angled face brush or the eco tools blush brush again and lightly sweep muas pressed powder into the hollows of my cheeks up into my temples and when im feeling brave maybe a little down my nose and on my chin,2
i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,2
i didnt feel alarmed moreso a feeling of total welcome,5
i feel that sweet potatoes are very under rated,3
i am sure the organisation themselves have the best of intentions though i disagree with them whole heartedly its just i get the feeling that some of the demostrators will be slightly hostile to students,4
i will usually tell him that i was feeling frustrated for whatever reason and ask him to help me fix it,4
i celebrate in a year and how i feel about supporting some of them when the history behind most of our traditional holidays is based on some ugly stuff or at least in a lot of cases a lot stuff that i don t believe in or support,3
i needed to feel loved and accepted although i falter,3
i feel a gentle tap on my shoulder,3
i should have been at the pub instead of which i stayed at home feeling morose and depressed,0
i can feel my blood start to boil my hands start to twitch and i suddenly get really hot,3
i feel he just broke up with his girlfriend,0
i would veer from feeling utterly terrified to utterly disorientated to utterly queasy,5
i find myself feeling surprised and totally unworthy whenever i see her face,1
i actually prefer peep toe shoes because of it because then i wont notice that my shoes feel funny,1
i swear is releasing my neighbors inner crazy weve had cops called on our block like out of days this week im feeling inspired,2
i feel on the verge of tears from weariness i look at your sweet face and cant help but tenderly kiss your cheeks,3
i had and not having any lingering feelings nor longing for anyone,3
i feel enormously honoured to be included in this list,2
i feel shocked that my photo was chosen as the best photo of the week,1
i cant even remember what it feels like to be loved,3
i am not working out the amount i would like to i feel like my lifestyle change has been successful so far,2
i also feel like maybe you dont want the real messy authentic mark,0
i did feel guilty about saying no to something she really wanted,0
im feeling extraordinarily dazed and bewildered this arvo for no particular reason and my muscles all hurt even though i dont actually have any,1
i feel cheated and wronged let down and spurned the vine i tended and nursed how could it do this to me,4
i was feeling pretty bitchy and horrible but dont worry,4
i feel offended if you question my results as unfair saying that i am lazy and all so why,4
i feel like we are supporting her lifestyle,3
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,5
i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,2
im feeling less fearful today ptl,5
i didnt want to walk passed there just in case the customers feel disturbed,0
i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his,2
i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,1
i really want to write and still feel like ive not been useful that day,2
i feel dirty if i haven t washed my nose then my teeth brush with electric brush brush way back with small brush brush between with xmas tree brush massage around teeth with that rubber pointy thing and then floss,0
im not emo ing no no no haha i am feeling happy instead for being able to meet up with them,2
i feel respected when for months you only tell me you love me when were alone and when it strikes your fancy,2
i wish i could say fuck you to people who make me feel insecure for ever to have existed,5
i didnt want to be a part of a group just to feel accepted,3
i still feel a little bit funny when i discover his fb damn it,1
i feel like hes trying to be the one to comfort me and help me get over yash which is sooo sweet of him but at the same time it makes me love yash more because he cant compare to yash i feel like i cant trust fateh,3
i had been feeling was all my fault that i had wronged her and caused her to abandon me,4
i was to worried about them knowing if i was high or not and feeling a little paranoid and i have never never been that type of person that would think and care about what people think about me and would always focus on what i had to do to get to where i needed to get in life,5
i hoped she wouldnt feel disappointed if no one called,0
i went up to the teacher and said im gonna step outside for a second im really not feeling too well,2
i just feel so fucked up these days,4
i im feeling rot im feeling rotten today i guess i forgot i am shot im not o,0
i am feeling a curious sense of relief a lightness that i never thought possible back when sex seemed to be the most desirable of desires and the ultimate act of self validation,1
im feeling overwhelmed,1
i feel so pissed off over an old friend and some friends,4
i feel some people shouldn t answer if they are not considerate and serious,2
i think of how much time we spent just doing fun childhood stuff together as a family i feel amazed,1
i think many may dislike it as i do and still feel they should be impressed by it the educated and privileged may now be more susceptible to the mass media than the larger public they re certainly easier to reach,1
i really wish i had the courage to drag a blade across my skin i wish i could do it i wish i could see the blood and feel that sweet release as it starts to pour out of my flesh and down my body,3
i feel like a rockette and i also feel like im glad its over,2
i feel a bit naughty like ive snuck into my parents room snooping for christmas presents or something,3
i don t feel whack or messed up i know i m psychologically fucked up because i can feel the difference but i don t feel like i m as fucked up as i could be,4
